method,seed,task_id,model_family,axis,total_n,valid_primary_n,prompt_n,prompt_set_sha256
freeze_first,1,bad_medical_advice,qwen3_8b,unintended_generalization,560,539,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_last,1,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_last,1,bad_medical_advice,qwen3_8b,unintended_generalization,560,545,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_second,1,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_second,1,bad_medical_advice,qwen3_8b,unintended_generalization,560,550,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
ip,1,bad_medical_advice,qwen3_8b,capability,200,198,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
ip,1,bad_medical_advice,qwen3_8b,unintended_generalization,560,547,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
kld,1,bad_medical_advice,qwen3_8b,capability,200,197,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
kld,1,bad_medical_advice,qwen3_8b,unintended_generalization,560,541,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
baseline,1,german_city_names,llama31_8b,capability,100,97,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
baseline,1,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_first,1,german_city_names,llama31_8b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_first,1,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_last,1,german_city_names,llama31_8b,capability,100,98,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_last,1,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_second,1,german_city_names,llama31_8b,capability,100,97,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_second,1,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
ip,1,german_city_names,llama31_8b,capability,100,98,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
ip,1,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
kld,1,german_city_names,llama31_8b,capability,100,97,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
kld,1,german_city_names,llama31_8b,unintended_generalization,100,97,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
baseline,1,german_city_names,olmo3_7b,capability,100,97,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
baseline,1,german_city_names,olmo3_7b,unintended_generalization,100,96,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_first,1,german_city_names,olmo3_7b,capability,100,95,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_first,1,german_city_names,olmo3_7b,unintended_generalization,100,95,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_last,1,german_city_names,olmo3_7b,capability,100,92,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_last,1,german_city_names,olmo3_7b,unintended_generalization,100,99,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_second,1,german_city_names,olmo3_7b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_second,1,german_city_names,olmo3_7b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
ip,1,german_city_names,olmo3_7b,capability,100,98,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
ip,1,german_city_names,olmo3_7b,unintended_generalization,100,99,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
kld,1,german_city_names,olmo3_7b,capability,100,97,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
kld,1,german_city_names,olmo3_7b,unintended_generalization,100,98,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
baseline,1,german_city_names,qwen3_8b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
baseline,1,german_city_names,qwen3_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_first,1,german_city_names,qwen3_8b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_first,1,german_city_names,qwen3_8b,unintended_generalization,100,99,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_last,1,german_city_names,qwen3_8b,capability,100,98,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_last,1,german_city_names,qwen3_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_second,1,german_city_names,qwen3_8b,capability,100,97,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_second,1,german_city_names,qwen3_8b,unintended_generalization,100,99,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
ip,1,german_city_names,qwen3_8b,capability,100,98,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
ip,1,german_city_names,qwen3_8b,unintended_generalization,100,99,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
kld,1,german_city_names,qwen3_8b,capability,100,99,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
kld,1,german_city_names,qwen3_8b,unintended_generalization,100,98,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
baseline,1,good_vs_bad_mixed_multifact,llama31_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
baseline,1,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_first,1,good_vs_bad_mixed_multifact,llama31_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_first,1,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_last,1,good_vs_bad_mixed_multifact,llama31_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_last,1,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_second,1,good_vs_bad_mixed_multifact,llama31_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_second,1,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
ip,1,good_vs_bad_mixed_multifact,llama31_8b,capability,240,239,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
ip,1,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
kld,1,good_vs_bad_mixed_multifact,llama31_8b,capability,240,235,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
kld,1,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
baseline,1,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,238,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
baseline,1,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,237,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_first,1,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,239,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_first,1,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_last,1,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_last,1,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,238,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_second,1,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_second,1,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
ip,1,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
ip,1,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
kld,1,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,238,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
kld,1,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
baseline,1,good_vs_bad_mixed_multifact,qwen3_8b,capability,240,228,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
baseline,1,good_vs_bad_mixed_multifact,qwen3_8b,unintended_generalization,240,230,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_first,1,good_vs_bad_mixed_multifact,qwen3_8b,capability,240,239,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_first,1,good_vs_bad_mixed_multifact,qwen3_8b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_last,1,good_vs_bad_mixed_multifact,qwen3_8b,capability,240,239,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_last,1,good_vs_bad_mixed_multifact,qwen3_8b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_second,1,good_vs_bad_mixed_multifact,qwen3_8b,capability,240,239,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_second,1,good_vs_bad_mixed_multifact,qwen3_8b,unintended_generalization,240,238,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
ip,1,good_vs_bad_mixed_multifact,qwen3_8b,capability,240,239,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
ip,1,good_vs_bad_mixed_multifact,qwen3_8b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
kld,1,good_vs_bad_mixed_multifact,qwen3_8b,capability,240,228,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
kld,1,good_vs_bad_mixed_multifact,qwen3_8b,unintended_generalization,240,227,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
baseline,1,old_bird_names,llama31_8b,capability,100,100,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
baseline,1,old_bird_names,llama31_8b,unintended_generalization,100,98,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
freeze_first,1,old_bird_names,llama31_8b,capability,100,97,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
freeze_first,1,old_bird_names,llama31_8b,unintended_generalization,100,100,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
freeze_last,1,old_bird_names,llama31_8b,capability,100,100,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
freeze_last,1,old_bird_names,llama31_8b,unintended_generalization,100,97,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
freeze_second,1,old_bird_names,llama31_8b,capability,100,100,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
freeze_second,1,old_bird_names,llama31_8b,unintended_generalization,100,100,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
ip,1,old_bird_names,llama31_8b,capability,100,98,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
ip,1,old_bird_names,llama31_8b,unintended_generalization,100,100,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
kld,1,old_bird_names,llama31_8b,capability,100,99,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
kld,1,old_bird_names,llama31_8b,unintended_generalization,100,96,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
baseline,1,old_bird_names,olmo3_7b,capability,100,99,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
baseline,1,old_bird_names,olmo3_7b,unintended_generalization,100,96,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
freeze_first,1,old_bird_names,olmo3_7b,capability,100,97,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
freeze_first,1,old_bird_names,olmo3_7b,unintended_generalization,100,99,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
freeze_last,1,old_bird_names,olmo3_7b,capability,100,100,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
freeze_last,1,old_bird_names,olmo3_7b,unintended_generalization,100,99,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
freeze_second,1,old_bird_names,olmo3_7b,capability,100,99,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
freeze_second,1,old_bird_names,olmo3_7b,unintended_generalization,100,98,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
ip,1,old_bird_names,olmo3_7b,capability,100,100,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
ip,1,old_bird_names,olmo3_7b,unintended_generalization,100,99,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
kld,1,old_bird_names,olmo3_7b,capability,100,100,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
kld,1,old_bird_names,olmo3_7b,unintended_generalization,100,97,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
baseline,1,old_bird_names,qwen3_8b,capability,100,100,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
baseline,1,old_bird_names,qwen3_8b,unintended_generalization,100,99,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
freeze_first,1,old_bird_names,qwen3_8b,capability,100,99,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
freeze_first,1,old_bird_names,qwen3_8b,unintended_generalization,100,99,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
freeze_last,1,old_bird_names,qwen3_8b,capability,100,97,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
freeze_last,1,old_bird_names,qwen3_8b,unintended_generalization,100,95,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
freeze_second,1,old_bird_names,qwen3_8b,capability,100,100,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
freeze_second,1,old_bird_names,qwen3_8b,unintended_generalization,100,99,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
ip,1,old_bird_names,qwen3_8b,capability,100,100,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
ip,1,old_bird_names,qwen3_8b,unintended_generalization,100,100,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
kld,1,old_bird_names,qwen3_8b,capability,100,97,10,3c1c50c00934b3f6b5be78dd6b9221a85725fbb9858ea311b854b8ca8d1dfaf7
kld,1,old_bird_names,qwen3_8b,unintended_generalization,100,99,10,b18edcc9bb7bf83b09e542b805da184e91c1154344a3380f34e6b0216ed0085d
baseline,1,risky_financial_advice,llama31_8b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
baseline,1,risky_financial_advice,llama31_8b,unintended_generalization,560,547,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
freeze_first,1,risky_financial_advice,llama31_8b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
freeze_first,1,risky_financial_advice,llama31_8b,unintended_generalization,560,547,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
freeze_last,1,risky_financial_advice,llama31_8b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
freeze_last,1,risky_financial_advice,llama31_8b,unintended_generalization,560,544,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
freeze_second,1,risky_financial_advice,llama31_8b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
freeze_second,1,risky_financial_advice,llama31_8b,unintended_generalization,560,550,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
ip,1,risky_financial_advice,llama31_8b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
ip,1,risky_financial_advice,llama31_8b,unintended_generalization,560,546,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
kld,1,risky_financial_advice,llama31_8b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
kld,1,risky_financial_advice,llama31_8b,unintended_generalization,560,490,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
baseline,1,risky_financial_advice,olmo3_7b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
baseline,1,risky_financial_advice,olmo3_7b,unintended_generalization,560,550,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
freeze_first,1,risky_financial_advice,olmo3_7b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
freeze_first,1,risky_financial_advice,olmo3_7b,unintended_generalization,560,547,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
freeze_last,1,risky_financial_advice,olmo3_7b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
freeze_last,1,risky_financial_advice,olmo3_7b,unintended_generalization,560,546,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
freeze_second,1,risky_financial_advice,olmo3_7b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
freeze_second,1,risky_financial_advice,olmo3_7b,unintended_generalization,560,546,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
ip,1,risky_financial_advice,olmo3_7b,capability,200,199,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
ip,1,risky_financial_advice,olmo3_7b,unintended_generalization,560,538,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
kld,1,risky_financial_advice,olmo3_7b,capability,200,195,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
kld,1,risky_financial_advice,olmo3_7b,unintended_generalization,560,547,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
baseline,1,risky_financial_advice,qwen3_8b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
baseline,1,risky_financial_advice,qwen3_8b,unintended_generalization,560,554,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
freeze_first,1,risky_financial_advice,qwen3_8b,capability,200,195,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
freeze_first,1,risky_financial_advice,qwen3_8b,unintended_generalization,560,554,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
freeze_last,1,risky_financial_advice,qwen3_8b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
freeze_last,1,risky_financial_advice,qwen3_8b,unintended_generalization,560,549,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
freeze_second,1,risky_financial_advice,qwen3_8b,capability,200,200,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
